SMILES,Predicted_Score,Uncertainty,UCB_Score
c1ccc(C=O)cc1,5.759211226257078,1.7050040799163575,9.169219386089793
CCOCC,5.174943271688441,1.9722467317625019,9.119436735213444
NC(=O)c1ccccc1,5.627729672793874,1.6379312388812288,8.903592150556332
CCN,5.61114588095793,1.6070221395423874,8.825190160042705
CC#N,5.500769631240001,1.5746843273476816,8.650138285935364
CCCCCCC,5.529987948411719,1.5546723154263553,8.63933257926443
CCCCCCCC,4.377250733226905,2.127994129430152,8.63323899208721
CCOC(=O)C,5.452091319918968,1.5825871933337876,8.617265706586544
OC(c1ccccc1)c1ccccc1,4.506039516139417,2.045123412320172,8.596286340779761
Cc1ccncc1,5.354803047347099,1.57324462352638,8.501292294399859
